year,sic3,theil,gini,cv,rmd,mld,mkpm_med,mkpm_avg,n,assets,soe,foreign,determ1,determ2,determ3,herf_3dt_city,eg_3dt_city,avgtariff_ind3,numtariff_ind3,input_tariff,exports,lnasset_proc,ln_theil_proc,lnn_proc,lnasset_single,ln_theil_single,lnn_single,lnasset_nonexp,ln_theil_nonexp,lnn_nonexp,ln_theil_pr,ln_theil_mc,lnn_prmc,lnasset_prmc,ln_theil_tfp,lnasset_surv,ln_theil_surv,lnn_surv,lnasset_enex,ln_theil_enex,lnn_enex,lnasset_soe,ln_theil_soe,lnn_soe,lnasset_nonsoe,ln_theil_nonsoe,lnn_nonsoe,lnasset_coast,ln_theil_coast,lnn_coast,lnasset_inland,ln_theil_inland,lnn_inland,tariff01,hightariff,g,hightariff_post02,rel_year,pre_post,ln_gini,ln_theil,ln_cv,ln_mld,ln_rmd,lnn,lnasset,lnexports,lnfdi,lnit,tariff
1997,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.099998474121094,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559492073059082,TRUE,2002,FALSE,-5,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.580999984741211
1998,131,0.0231568555124439,0.1159376487843726,0.2246385792082852,0.0813735139102562,0.0218856530021541,0.9614989757537842,0.9926547408103943,2751,7036.187820319566,0.9879183769226074,3317,0,0,0,0.006218581460416317,0.0056367479264736176,54.761905670166016,21,29.27742576599121,902036.875,NA,NA,NA,8.8065032958984375,-3.7686502933502197,7.822444915771484,8.832437515258789,-3.7658307552337646,7.8830695152282715,NA,NA,NA,NA,-2.5999057292938232,9.175958633422852,-3.908315658569336,6.795705795288086,8.634474754333496,-3.703357219696045,7.526717662811279,8.946968078613281,-3.595540761947632,7.52617883682251,8.5988616943359375,-4.346128463745117,6.796823501586914,9.2142181396484375,-3.9160330295562744,6.815639972686768,8.630949974060059,-3.77005934715271,7.516977310180664,0.559492073059082,TRUE,2002,FALSE,-4,pre,-2.154702742865863,-3.7654644078422237,-1.4932624829141348,-3.8219239708975516,-2.508705440859716,7.919719760924575,8.858821799690984,13.712410679583863,8.106816038947052,3.376816767399943,0.5476190567016601
1999,131,0.0204325582081649,0.1094315457532794,0.2099664235966861,0.0770442246467091,0.0194659982536451,0.9513237476348877,0.9809059500694275,2612,7210.881241997439,0.9872139692306519,3124,0,0,0,9.860439458861947e-4,0.00602801563218236,56.761905670166016,21,29.27742576599121,654283.4375,NA,NA,NA,8.832855224609375,-3.880715847015381,7.75190544128418,8.873948097229004,-3.888522148132324,7.838737487792969,NA,NA,NA,NA,-2.6555709838867188,9.1117095947265625,-3.9738123416900635,6.981934547424316,8.659730911254883,-3.837590456008911,7.336285591125488,8.940787315368652,-3.7658708095550537,7.4460015296936035,8.740777969360352,-4.299234867095947,6.80128288269043,9.244001388549805,-4.099912166595459,6.744059085845947,8.650809288024902,-3.8471198081970215,7.474771976470947,0.559492073059082,TRUE,2002,FALSE,-3,pre,-2.212456078153245,-3.8906256597751647,-1.560807648682887,-3.9390860146909237,-2.5633756759408683,7.867871490396322,8.883346447775104,13.391295927225507,8.046869510959576,3.376816767399943,0.5676190567016601
2000,131,0.0190859838847197,0.1056685675842678,0.2025699518352471,0.0737651433635658,0.0182054069137212,0.9658335447311401,0.9945304989814758,2396,7525.335934728627,0.9862401485443115,2839,0,0,0,0.0011397636262699962,0.00700331712141633,56.71428680419922,42,28.542646408081055,874453.9375,NA,NA,NA,8.887792587280273,-3.931791067123413,7.638198375701904,8.906240463256836,-3.956836700439453,7.747596740722656,0.5687932968139648,0.5746344327926636,7.109062194824219,9.017158508300781,-2.658857822418213,9.083770751953125,-4.062921047210693,7.090909957885742,8.710661888122559,-3.8641974925994873,7.085901260375977,9.043981552124023,-3.777449607849121,7.22838830947876,8.711202621459961,-4.371655464172363,6.925595283508301,9.213005065917969,-4.159842491149902,6.763885021209717,8.731745719909668,-3.8962337970733643,7.3330230712890625,0.559492073059082,TRUE,2002,FALSE,-2,pre,-2.2474478041783024,-3.95880104133828,-1.5966700109248904,-4.0060366458483605,-2.6068689710970308,7.78155595923534,8.926030731109485,13.68135489909755,7.951207156472972,3.3513993340316213,0.5671428680419922
2001,131,0.016237600803768,0.0978426201055266,0.1852104834531296,0.0678983669945983,0.0157412114165995,0.998089611530304,1.0090352296829224,2302,7162.375931445604,0.9853912591934204,2684,0,0,0,0.0012272908352315426,0.009495003148913383,55.9492073059082,21,27.8078670501709,445740.625,NA,NA,NA,8.7965240478515625,-4.124971866607666,7.537962436676025,8.853143692016602,-4.114132881164551,7.71735143661499,1.198181390762329,1.1695990562438965,7.1276936531066895,8.879485130310059,-2.6289238929748535,8.891287803649902,-4.203526973724365,7.45587682723999,8.825638771057129,-3.912436008453369,6.349139213562012,9.059003829956055,-3.946805238723755,7.021083831787109,8.620659828186035,-4.418130397796631,7.074963092803955,9.108370780944824,-4.286772727966309,6.729824066162109,8.72184944152832,-4.0648980140686035,7.289610385894775,0.559492073059082,TRUE,2002,FALSE,-1,pre,-2.3243950084694847,-4.12042568892044,-1.6862623522537135,-4.151473074748659,-2.6897432948598876,7.741533589281828,8.876597038910749,13.00749250353562,7.895063498091573,3.3253189680794244,0.559492073059082
2002,131,0.0140459776884534,0.0919431459560141,0.1704125296774501,0.0644440097339676,0.0138637558024437,1.0179013013839722,1.0208849906921387,2215,6999.799371809972,0.984839677810669,2547,0.4661729037761688,9.331151962280273,0.0075704483315348625,0.0014681380707770586,0.0102768549695611,40.07143020629883,21,20.876928329467773,700527.875,NA,NA,NA,8.780925750732422,-4.267259120941162,7.5229411125183105,8.848711013793945,-4.268591403961182,7.67832612991333,-0.42180800437927246,-0.39070096611976624,7.241366386413574,8.840545654296875,-2.5889172554016113,8.91166877746582,-4.291770935058594,7.4547200202941895,8.549846649169922,-4.227778434753418,6.188263893127441,9.024815559387207,-3.998521089553833,6.767343044281006,8.700428009033203,-4.522261619567871,7.204892635345459,8.99062442779541,-4.252078533172607,6.701960563659668,8.76557445526123,-4.301026344299316,7.244941711425781,0.559492073059082,TRUE,2002,TRUE,0,post,-2.3865848716996396,-4.265419209709235,-1.7695331363192397,-4.278477340511918,-2.741958498308042,7.703007682479236,8.853636766456708,13.459589436972475,7.842671474979457,3.03864464153493,0.4007143020629883
2003,131,0.0124241453697738,0.0857112185084097,0.160517985432201,0.0589924654280768,0.0122065796549661,1.0438004732131958,1.0521312952041626,2174,7001.269658295595,0.9819162487983704,2429,0.4661729037761688,9.331151962280273,0.0075704483315348625,0.0017916205106303096,0.01101840753108263,37.57143020629883,21,19.265789031982422,920993.75,NA,NA,NA,8.803143501281738,-4.432142734527588,7.560080528259277,8.805961608886719,-4.381385803222656,7.6586995124816895,1.7658405303955078,1.7763093709945679,7.229838848114014,8.858335494995117,-2.60725998878479,9.004681587219238,-4.307448387145996,7.155396461486816,8.528718948364258,-4.535914421081543,6.794586658477783,9.149149894714355,-3.8861191272735596,6.448889255523682,8.67812442779541,-4.705617904663086,7.3408355712890625,8.985261917114258,-4.542341232299805,6.698267936706543,8.766443252563477,-4.351208686828613,7.217443466186523,0.559492073059082,TRUE,2002,TRUE,1,post,-2.4567715575301228,-4.388113492481908,-1.8293492839225738,-4.405780156640694,-2.830345547840213,7.684324067681155,8.853846791346644,13.733208529112355,7.795234929002173,2.9583309339994686,0.3757143020629883
2004,131,0.0124238676715694,0.0848704602119354,0.161282302079314,0.0581842152644271,0.0121072787419969,1.0378947257995605,1.04542875289917,2809,6300.81139154161,0.9841512441635132,2932,0.4661729037761688,9.331151962280273,0.0075704483315348625,0.0014498759992420673,0.011814406141638756,35.07143020629883,21,17.803302764892578,1182992.25,NA,NA,NA,8.69825553894043,-4.40134859085083,7.901747703552246,8.981877326965332,-4.3880486488342285,7.918992519378662,-0.16629937291145325,0.03661930561065674,6.926577091217041,8.78143310546875,-2.5087523460388184,9.199583053588867,-4.253793239593506,6.448889255523682,8.548983573913574,-4.456763744354248,7.685703277587891,9.157560348510742,-3.9991979598999023,6.218600273132324,8.612421989440918,-4.507747173309326,7.743703365325928,8.891244888305664,-4.454058647155762,6.950814723968506,8.656365394592285,-4.370025157928467,7.475905895233154,0.559492073059082,TRUE,2002,TRUE,2,post,-2.466629182463876,-4.388135844225201,-1.8245990203957327,-4.413948458312106,-2.84414117641814,7.940583827104244,8.748433696394798,13.983557591797899,7.983440063006542,2.8793839886754995,0.35071430206298826
2005,131,0.0123124914350515,0.0835378250012038,0.1608050582213709,0.0568145783513632,0.0119753266947046,1.0533993244171143,1.0622384548187256,2954,7154.335526315789,0.9866554141044617,3040,0.4661729037761688,9.331151962280273,0.0075704483315348625,0.0013576345518231392,0.014708337374031544,35.07143020629883,21,17.631460189819336,1868971.5,NA,NA,NA,8.839256286621094,-4.417863845825195,7.955775737762451,8.857933044433594,-4.393865585327148,7.8426713943481445,1.65247642993927,1.6599230766296387,7.611842632293701,8.872368812561035,-2.559520721435547,9.331151962280273,-4.254764080047607,6.3526291847229,8.717886924743652,-4.475088596343994,7.774855613708496,9.351579666137695,-3.9954187870025635,5.963579177856445,8.778850555419922,-4.498183250427246,7.8497138023376465,8.984318733215332,-4.492700099945068,7.031741142272949,8.804088592529297,-4.379237174987793,7.507689952850342,0.559492073059082,TRUE,2002,TRUE,3,post,-2.4824557556697537,-4.397140968114507,-1.8275624661314542,-4.424906854662332,-2.8679623250713115,7.9909154630913255,8.875473819238568,14.440898837525289,8.019612794400267,2.8696848171331584,0.35071430206298826
1997,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13875,FALSE,Inf,FALSE,-Inf,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
