statefips,fips,census_region,year,g,treat,rel_year,pct_insured_total,pct_insured_male,pct_insured_female,pct_uninsured_total,pct_uninsured_male,pct_uninsured_female
01,01001,South,2008,NA,FALSE,-15,45.8,43.2,48.2,13.9,14.4,13.4
01,01003,South,2008,NA,FALSE,-15,41.7,38.4,44.9,16.5,17.5,15.4
01,01005,South,2008,NA,FALSE,-15,56.7,52.9,60.1,19.9,21.7,18.2
01,01007,South,2008,NA,FALSE,-15,53.2,50.9,55.4,19.6,19.6,19.6
01,01009,South,2008,NA,FALSE,-15,47.1,44.5,49.7,21,21.9,20.1
01,01011,South,2008,NA,FALSE,-15,60.7,57.4,63.7,22.3,23.7,20.9
01,01013,South,2008,NA,FALSE,-15,58.6,55.8,61,18.9,19.7,18.2
01,01015,South,2008,NA,FALSE,-15,51.7,49,54.3,16.8,17.3,16.3
01,01017,South,2008,NA,FALSE,-15,57.6,54.7,60.3,18.9,20.3,17.7
01,01019,South,2008,NA,FALSE,-15,55.1,51.8,58.3,18.3,19.6,17.1
01,01021,South,2008,NA,FALSE,-15,50.6,47.3,53.8,20.4,21.4,19.4
01,01023,South,2008,NA,FALSE,-15,58,54.7,60.8,17.3,18.7,16.2
01,01025,South,2008,NA,FALSE,-15,51.8,49.2,54.2,18.2,18,18.4
01,01027,South,2008,NA,FALSE,-15,58.7,56,61.5,18,18.8,17.1
01,01029,South,2008,NA,FALSE,-15,55,52.3,57.8,19.3,20.6,17.9
01,01031,South,2008,NA,FALSE,-15,48.7,47,50.4,16.6,16.4,16.8
01,01033,South,2008,NA,FALSE,-15,51.5,48.2,54.6,16.6,17.5,15.8
01,01035,South,2008,NA,FALSE,-15,64.4,61.6,66.8,16.9,18.1,15.8
01,01037,South,2008,NA,FALSE,-15,60.7,58.5,62.8,16.7,17.5,16
01,01039,South,2008,NA,FALSE,-15,56.5,53.1,59.7,17.9,19.4,16.5
01,01041,South,2008,NA,FALSE,-15,57,53.9,59.9,20.3,21.6,19.1
01,01043,South,2008,NA,FALSE,-15,50.8,47.8,53.9,19.6,20.6,18.5
01,01045,South,2008,NA,FALSE,-15,54.1,51,57,15.3,16.2,14.6
01,01047,South,2008,NA,FALSE,-15,60.1,57.4,62.3,17.4,17.8,17.1
01,01049,South,2008,NA,FALSE,-15,54.7,51.3,58.1,22.4,24,20.8
01,01051,South,2008,NA,FALSE,-15,43.8,40.9,46.5,15.7,16.2,15.3
01,01053,South,2008,NA,FALSE,-15,53.2,49.5,56.8,22.1,24.1,20
01,01055,South,2008,NA,FALSE,-15,52,49.6,54.3,17.9,18.4,17.4
01,01057,South,2008,NA,FALSE,-15,58.4,55.4,61.5,17.7,18.9,16.5
01,01059,South,2008,NA,FALSE,-15,55.5,52.4,58.8,21.5,23.5,19.4
01,01061,South,2008,NA,FALSE,-15,57.9,55.9,59.8,19.6,20,19.1
01,01063,South,2008,NA,FALSE,-15,65.6,62.2,68.4,18.1,19.7,16.8
01,01065,South,2008,NA,FALSE,-15,59.8,56.2,63.1,19.2,20.9,17.6
01,01067,South,2008,NA,FALSE,-15,53.4,50.8,55.9,17.6,18.1,17.2
01,01069,South,2008,NA,FALSE,-15,48,44.9,50.9,16.4,16.7,16.2
01,01071,South,2008,NA,FALSE,-15,54.9,53.3,56.5,17.5,17.6,17.4
01,01073,South,2008,NA,FALSE,-15,44.7,41.2,47.9,14.9,16,13.8
01,01075,South,2008,NA,FALSE,-15,59.3,57.2,61.5,18.2,18.8,17.6
01,01077,South,2008,NA,FALSE,-15,49.1,46.8,51.3,16.5,16.4,16.5
01,01079,South,2008,NA,FALSE,-15,52.7,50.1,55.1,17.5,18.3,16.7
01,01081,South,2008,NA,FALSE,-15,51.4,49,53.8,13.1,13.7,12.4
01,01083,South,2008,NA,FALSE,-15,43.8,40.9,46.6,16,16.9,15.1
01,01085,South,2008,NA,FALSE,-15,61.2,57.6,64.2,18.1,19.8,16.6
01,01087,South,2008,NA,FALSE,-15,63.1,60.5,65.2,16.4,17,15.9
01,01089,South,2008,NA,FALSE,-15,38,35,40.9,13.3,13.7,13
01,01091,South,2008,NA,FALSE,-15,56.3,53.4,58.9,16.4,16.8,16
01,01093,South,2008,NA,FALSE,-15,60.4,57.2,63.6,18,19.6,16.5
01,01095,South,2008,NA,FALSE,-15,49.6,47.8,51.4,21.3,21.2,21.3
01,01097,South,2008,NA,FALSE,-15,48.5,44.8,51.9,18.5,20,17.1
01,01099,South,2008,NA,FALSE,-15,54,51.2,56.5,18,18.9,17.1
01,01101,South,2008,NA,FALSE,-15,48.5,45,51.5,14.1,15,13.4
01,01103,South,2008,NA,FALSE,-15,44.4,41.8,46.9,16.8,17.2,16.5
01,01105,South,2008,NA,FALSE,-15,64.3,61.6,66.4,19.6,20.2,19.2
01,01107,South,2008,NA,FALSE,-15,57.7,54.5,60.5,18.4,19.3,17.5
01,01109,South,2008,NA,FALSE,-15,56.9,53.2,60.3,18.2,20,16.6
01,01111,South,2008,NA,FALSE,-15,56.3,53.9,58.6,20.2,20.8,19.8
01,01113,South,2008,NA,FALSE,-15,56.6,53.8,59,19.7,20.3,19.2
01,01115,South,2008,NA,FALSE,-15,46.2,43.3,49.1,16.9,17.5,16.3
01,01117,South,2008,NA,FALSE,-15,31.9,29.6,34.2,10,10.2,9.9
01,01119,South,2008,NA,FALSE,-15,66.5,63.9,68.7,18.3,19.2,17.4
01,01121,South,2008,NA,FALSE,-15,55.9,53.2,58.4,15.9,16.4,15.4
01,01123,South,2008,NA,FALSE,-15,54.8,51.9,57.6,16.4,17.1,15.7
01,01125,South,2008,NA,FALSE,-15,47.9,44.5,51.3,14,14.5,13.5
01,01127,South,2008,NA,FALSE,-15,54.1,51.8,56.3,18.5,18.7,18.3
01,01129,South,2008,NA,FALSE,-15,54.4,51.2,57.6,16.7,18.2,15.3
01,01131,South,2008,NA,FALSE,-15,62.7,60.7,64.3,21.1,21.5,20.7
01,01133,South,2008,NA,FALSE,-15,59.3,56.9,61.8,19,20.3,17.8
02,02013,West,2008,2016,FALSE,-8,34.3,32.9,37.3,28.7,30.1,25.7
02,02016,West,2008,2016,FALSE,-8,34.9,33.8,36.9,25.2,26.9,21.9
02,02020,West,2008,2016,FALSE,-8,31.3,28.7,34,14.9,15.3,14.5
02,02050,West,2008,2016,FALSE,-8,48.6,45.9,51.5,28.6,30.6,26.5
02,02060,West,2008,2016,FALSE,-8,27,25,29.2,21.4,22.1,20.7
02,02068,West,2008,2016,FALSE,-8,27.8,25.2,31,18.6,18.5,18.6
02,02070,West,2008,2016,FALSE,-8,39.1,36.3,42.1,29.9,31.4,28.1
02,02090,West,2008,2016,FALSE,-8,34.9,32.7,37.3,16.4,16.8,16
02,02100,West,2008,2016,FALSE,-8,35,32.5,37.5,22.4,23.1,21.6
02,02105,West,2008,2016,FALSE,-8,36.9,34.1,40.2,27.4,28.5,26.1
02,02110,West,2008,2016,FALSE,-8,27.7,25,30.6,15,15.6,14.4
02,02122,West,2008,2016,FALSE,-8,32.2,29.6,35,20.7,20.8,20.6
02,02130,West,2008,2016,FALSE,-8,33.3,30.2,36.6,18.9,19.5,18.3
02,02150,West,2008,2016,FALSE,-8,33.6,30.8,36.9,22.7,24.1,21.1
02,02164,West,2008,2016,FALSE,-8,32.9,30,36.2,36.6,37.4,35.6
02,02170,West,2008,2016,FALSE,-8,30.8,28.6,33.3,19.9,19.8,20
02,02180,West,2008,2016,FALSE,-8,40.8,38,43.9,29.9,31.8,27.7
02,02185,West,2008,2016,FALSE,-8,32.5,29.6,35.7,22,23.2,20.6
02,02188,West,2008,2016,FALSE,-8,37.1,33.5,41.3,27.6,28.7,26.2
