	rmspe_pre	rmspe_post	ratio	
1	 364.07132	 609.43701	 1.6739495	
2	 226.27127	 509.79871	 2.2530422	
4	 62.520962	 780.58636	 12.485194	
5	 241.24986	 2185.0327	 9.0571356	
6	 5415.6606	 8747.8877	 1.6152947	
8	 223.93159	  798.1048	 3.5640562	
9	   309.858	  1593.791	 5.1436176	
10	    146.97	 580.58185	 3.9503427	
11	 3174.2974	 2804.4941	 .88350075	
12	 652.96411	 7387.2358	 11.313387	
13	 286.47797	 2164.3723	  7.555109	
15	 661.54944	 723.53503	 1.0936975	
16	 13.500081	 19.546703	 1.4478953	
17	 342.80731	 6522.2124	 19.025885	
18	 248.24547	 1766.2393	 7.1148901	
20	 135.58853	 424.48495	 3.1306849	
21	 86.017738	 636.27173	 7.3969827	
22	 936.67798	 794.85168	 .84858584	
23	 35.287525	 68.660774	  1.945752	
24	 617.96613	  2657.697	 4.3007164	
25	  217.5993	 1005.2872	 4.6199012	
26	 753.33478	 3169.0989	 4.2067604	
27	 70.514015	 409.53845	 5.8079014	
28	 1859.7559	 1745.0341	 .93831354	
29	 326.48264	 669.52759	 2.0507295	
30	 4.4646835	 24.098894	 5.3976712	
31	 31.294174	 170.49597	 5.4481697	
32	 145.96931	 598.75586	 4.1019297	
33	 16.978605	 34.370537	  2.024344	
34	 394.27155	 782.85602	 1.9855758	
35	  21.58923	 54.974007	 2.5463626	
36	 1742.4194	 2397.8376	 1.3761541	
37	 1155.5404	 3149.3806	 2.7254612	
38	 29.416918	 53.957119	 1.8342206	
39	 816.84436	  1872.941	 2.2928982	
40	 123.08318	 1627.0099	 13.218783	
41	 58.962502	 69.510262	 1.1788893	
42	 353.97919	 1062.8662	 3.0026236	
45	 589.51343	  4355.918	 7.3890057	
46	 7.9508023	 29.232244	 3.6766407	
47	 232.41884	 2596.5652	 11.171923	
48	 1296.2725	 23569.021	 18.182152	
49	 26.657207	 40.120968	 1.5050702	
51	 243.57521	 2342.0657	 9.6153698	
53	 165.80115	 584.94067	 3.5279651	
55	 123.20123	 1489.1044	 12.086765	
